brand,avg_price,avg_discount_pct,avg_rating,total_reviews,sentiment_score,top_5_positive_themes,top_5_negative_themes,recurring_praise,recurring_complaints,wheels_score,handle_score,material_score,zipper_score,size_score,durability_score,anomaly_flag
American Tourister,4288.7,59.5,4.109999999999999,50,0.48341400000000007,"quality, wheels, lock, durable, shell","quality, size, shell, zipper, durability","material (18), wheels (11), size (10), durability (10), zipper (9)","material (4), zipper (1), size (1), durability (1)",1.0,1.0,0.6363636363636364,0.7272727272727273,0.8181818181818182,0.8181818181818182,False
Nasher Miles,3762.1,77.42857142857143,4.17,39,0.555223076923077,"quality, wheels, lock, spacious, handle","quality, wheel, broke, flimsy","material (18), wheels (10), zipper (9), size (8), handle (3)","material (2), wheels (1), durability (1)",0.8181818181818182,1.0,0.8,1.0,1.0,0.3333333333333333,False
Safari,4075.0,67.42857142857143,4.111111111111111,36,0.5451166666666665,"quality, wheels, durable, lock, shell","wheels, quality","material (24), wheels (14), durability (8), zipper (6), handle (4)","wheels (2), material (2)",0.75,1.0,0.8461538461538461,1.0,1.0,1.0,False
Skybags,3330.6,64.71428571428571,4.1800000000000015,72,0.46490972222222227,"quality, wheels, durable, material, zipper","lock, handle, quality, wheels, durability","material (25), wheels (10), zipper (7), size (7), durability (7)","handle (3), material (3), zipper (3), wheels (1), durability (1)",0.8181818181818182,0.0,0.7096774193548387,0.4,1.0,0.75,False
VIP,3845.6,73.14285714285714,4.08,51,0.441656862745098,"quality, wheels, durable, material, lock","quality, broke, wheels, wheel, handle","material (24), wheels (9), durability (7), size (5), zipper (4)","material (5), zipper (3), wheels (2), durability (2), handle (1)",0.6363636363636364,0.3333333333333333,0.6333333333333333,0.14285714285714285,1.0,0.5555555555555556,False
